Name,Number of reducts,Shortest reducts Size,Reducts accuracy,Number of constructs,Shortest constructs Size,Constructs accuracy
anneal_with_noise,3,10,0.9222222222222223,21,11,0.9222222222222223
credit-g_with_noise,10,3,0.68,1,17,0.71
Dermatology-no-missing-values_with_noise,84,6,0.6486486486486487,5,8,0.8378378378378378
eucalyptus_with_noise,36,3,0.527027027027027,1,19,0.7837837837837838
Flags_with_noise,22,5,0.6,166,8,0.5
German-credit_with_noise,8,3,0.69,2,16,0.65
ilpd_with_noise,24,3,0.6610169491525424,1,10,0.6271186440677966
loan_with_noise,1,2,0.46774193548387094,1,9,0.7419354838709677
lymphography_with_noise,1,5,0.4,1,8,0.5333333333333333
Mushroom-no-missing-values_with_noise,1,18,0.990159901599016,1,21,0.992619926199262
soybean-no-missing-values_with_noise,6,12,0.7681159420289855,1,12,0.7246376811594203
Sponge_with_noise,1,3,1.0,7,5,1.0
student-mat_with_noise,1,5,0.425,10,9,0.525
Titanic_with_noise,13,6,0.9465648854961832,1,12,0.9465648854961832
Zoo_with_noise,11,11,1.0,11,11,1.0
