Name,Number of reducts,Shortest reducts Size,Reducts accuracy,Number of constructs,Shortest constructs Size,Constructs accuracy
anneal_with_noise,1,9,0.9333333333333333,7,10,0.9333333333333333
credit-g_with_noise,10,3,0.64,1,16,0.76
Dermatology-no-missing-values_with_noise,95,6,0.5945945945945946,75,8,0.7567567567567568
eucalyptus_with_noise,32,3,0.5135135135135135,1,19,0.7567567567567568
Flags_with_noise,4,4,0.6,794,9,0.65
German-credit_with_noise,8,3,0.62,2,17,0.73
ilpd_with_noise,10,3,0.6949152542372882,1,10,0.5932203389830508
loan_with_noise,1,3,0.532258064516129,1,10,0.6935483870967742
lymphography_with_noise,1,6,0.6,24,9,0.6
Mushroom-no-missing-values_with_noise,1,17,0.990159901599016,1,21,0.990159901599016
soybean-no-missing-values_with_noise,27,11,0.7681159420289855,3,11,0.7391304347826086
Sponge_with_noise,16,3,1.0,100,5,1.0
student-mat_with_noise,3,5,0.325,262,9,0.375
Titanic_with_noise,3,5,0.9312977099236641,1,12,0.9083969465648855
Zoo_with_noise,1,9,0.7272727272727273,1,9,0.7272727272727273
