Name,Number of reducts,Shortest reducts Size,Reducts accuracy,Number of constructs,Shortest constructs Size,Constructs accuracy
anneal_with_noise,1,9,0.9666666666666667,7,10,0.9666666666666667
credit-g_with_noise,10,3,0.63,1,16,0.74
Dermatology-no-missing-values_with_noise,95,6,0.7297297297297297,75,8,0.7567567567567568
eucalyptus_with_noise,32,3,0.5945945945945946,1,19,0.7162162162162162
Flags_with_noise,4,4,0.75,794,9,0.7
German-credit_with_noise,8,3,0.64,2,17,0.74
ilpd_with_noise,10,3,0.6949152542372882,1,10,0.6101694915254238
loan_with_noise,1,3,0.5483870967741935,1,10,0.7419354838709677
lymphography_with_noise,1,6,0.6,24,9,0.6666666666666666
Mushroom-no-missing-values_with_noise,1,17,0.988929889298893,1,21,0.986469864698647
soybean-no-missing-values_with_noise,27,11,0.7246376811594203,3,11,0.6521739130434783
Sponge_with_noise,16,3,1.0,100,5,1.0
student-mat_with_noise,3,5,0.45,262,9,0.5
Titanic_with_noise,3,5,0.9236641221374046,1,12,0.9389312977099237
Zoo_with_noise,1,9,0.8181818181818182,1,9,0.8181818181818182
