Name,Number of reducts,Shortest reducts Size,Reducts accuracy,Number of constructs,Shortest constructs Size,Constructs accuracy
anneal_with_noise,1,9,0.9,7,10,0.9
credit-g_with_noise,10,3,0.6,1,16,0.61
Dermatology-no-missing-values_with_noise,95,6,0.5675675675675675,75,8,0.7837837837837838
eucalyptus_with_noise,32,3,0.4864864864864865,1,19,0.5540540540540541
Flags_with_noise,4,4,0.75,794,9,0.7
German-credit_with_noise,8,3,0.58,2,17,0.72
ilpd_with_noise,10,3,0.6440677966101694,1,10,0.6271186440677966
loan_with_noise,1,3,0.4838709677419355,1,10,0.6612903225806451
lymphography_with_noise,1,6,0.6,24,9,0.6666666666666666
Mushroom-no-missing-values_with_noise,1,17,0.9286592865928659,1,21,0.9249692496924969
soybean-no-missing-values_with_noise,27,11,0.7101449275362319,3,11,0.6521739130434783
Sponge_with_noise,16,3,1.0,100,5,1.0
student-mat_with_noise,3,5,0.35,262,9,0.475
Titanic_with_noise,3,5,0.9083969465648855,1,12,0.8778625954198473
Zoo_with_noise,1,9,0.9090909090909091,1,9,0.9090909090909091
